10TH ,12TH ,CGPA 
90,77,3.15
88,85,2.6
86,81,3.47
87,78,3.35
88,74,3.06
90,72,2.78
88,71,2.66
89,75,3.28
84,81,2.76
88,77,3.24
87,87,3.16
84,82,2.92
88,88,3.55
84,63,2.67
86,78,3.08
90,86,3.17
91,89,3.48
86,79,3.11
87,85,3.26
85,64,2.65
78,68,2.3
81,72,3.1
92,82,3.16
92,82,3.11
86,75,2.94
90,79,3.4
90,86,3.25
90,89,3.48
90,68,3
92,75,3.25
94,83,3.34
86,80,3.32
84,65,3.12
91,71,3.22
87,63,3.05
92,79,3.26
80,77,3.29
92,81,3.32
91,87,3.7
90,84,3.36
85,83,3.06
87,88,3.46
91,75,3.35
89,73,3.04
82,75,2.86
92,89,3.56
93,82,3.33
80,73,2.72
88,73,3.21
80,61,2.87
78,61,2.48
89,86,3.21
75,58,2.48
90,86,3.39
89,86,3.36
79,63,2.97
82,70,2.95
82,74,2.73
92,68,2.35
89,81,3.06
89,71,2.98
87,75,3.11
75,83,3.47
92,82,3.05
72,74,2.6
64,61,2.13
86,68,2.52
85,84,3.65
83,82,3.23
78,77,2.77
75,67,2.73
78,70,2.88
83,69,2.74
86,62,2.47
84,72,2.75
93,72,2.82
86,79,3.38
78,62,2.41
93,75,2.98
91,73,2.74
91,83,3.16
68,68,2.63
83,62,3.19
88,84,3.35
81,63,2.64
80,65,2.44
83,65,3.02
82,71,2.82
93,91,3.42
92,72,2.65
88,73,3
88,71,2.88
86,72,3.13
85,65,3.08
90,87,2.8
79,62,2.51
95,85,3.2
87,72,2.96
78,67,2.66
90,83,3.1
82,80,2.97
71,64,2.67
90,78,3.08
84,85,3.45
86,84,3.49
91,74,2.72
91,82,2.7
86,60,2.86
92,78,2.84
72,71,2.84
79,63,2.55
85,78,2.98
80,79,3.17
84,71,2.51
92,67,2.81
70,75,2.6
87,73,2.78
83,89,2.83
94,88,3.28
82,77,2.57
76,70,2.7
85,62,3.1
94,75,2.57
82,79,3.23
84,74,2.66
84,74,3.11
86,70,2.91
91,75,3.27
79,70,2.5
89,88,3.09
83,67,3.24
92,81,2.9
90,78,2.6
85,80,3.35
87,79,2.78
90,94,3.4
81,68,2.89
81,81,2.89
78,74,2.65
90,64,2.98
84,72,3.1
88,70,3.03
85,79,3.4
91,75,2.57
77,66,2.82
89,65,2.5
85,78,2.89
79,85,3.31
83,64,2.76
79,65,2.47
82,79,3.25
92,77,2.59
86,66,2.92
74,58,2.5
82,71,2.83
91,67,2.58
91,86,3.61
80,66,2.41
85,80,2.73
80,66,2.63
88,80,2.99
83,72,2.75
78,64,2.36
87,68,2.57
92,82,3.64
85,74,2.68
83,74,2.43
84,73,3.22
90,73,2.97
85,76,2.81
85,72,2.65
83,80,3.15
82,64,2.85
80,59,2.3
71,71,2.73
86,68,2.47
69,74,2.54
90,81,3.21
78,63,2.71
84,63,2.5
93,78,2.36
82,65,2.14
83,64,2.91
86,70,2.62
88,84,3.04
87,76,3.39
86,84,2.41
75,72,2.93
87,66,2.93
80,70,2.52
90,70,2.28
82,64,2.55
74,63,2.5
88,78,2.35
76,63,2.46
84,66,3.08
88,88,3.22
67,62,2.65
80,61,2.43
75,71,3.21
81,64,2.66
79,63,2.07
88,91,3.74
78,69,2.37
83,90,3.27
86,78,2.96
79,82,2.99
88,92,3.41
